ID,SATISFACTION,USEFULNESS,EASE_OF_USE,TRUST,SERVICE_QUALITY,AGE,EXPERIENCE,GENDER_MALE,PU1,PU2,PU3,PEOU1,PEOU2,PEOU3,TR1,TR2,TR3,SQ1,SQ2,SQ3,SAT1,SAT2,SAT3
28,34.5,73.33,80.0,60.0,53.33,43,4.9,0,4,3,4,4,4,4,2,4,3,2,3,3,2,3,3
29,100.0,86.67,40.0,80.0,100.0,22,2.6,0,5,4,4,2,1,3,4,5,3,5,5,5,5,5,5
30,72.48,53.33,100.0,53.33,73.33,36,5.7,0,3,2,3,5,5,5,2,4,2,4,4,3,3,4,4
31,80.7,66.67,80.0,33.33,66.67,40,3.6,1,3,3,4,4,4,4,2,2,1,3,3,4,5,5,4
32,1.0,53.33,40.0,20.0,20.0,46,3.1,0,3,2,3,2,2,2,1,1,1,1,1,1,1,1,1
33,72.6,93.33,73.33,40.0,86.67,40,4.1,0,4,5,5,3,3,5,2,2,2,4,4,5,4,4,3
34,63.78,26.67,46.67,93.33,60.0,33,4.1,1,1,1,2,3,2,2,5,4,5,3,3,3,4,4,5
35,91.9,100.0,66.67,66.67,93.33,34,5.3,1,5,5,5,3,3,4,3,4,3,5,5,4,5,5,4
36,36.93,73.33,26.67,20.0,53.33,30,1.8,1,4,3,4,2,1,1,1,1,1,4,2,2,2,2,3
37,60.06,53.33,80.0,100.0,40.0,24,0.0,1,3,3,2,3,5,4,5,5,5,2,2,2,3,3,3
38,53.88,100.0,100.0,46.67,46.67,28,3.4,1,5,5,5,5,5,5,3,1,3,3,2,2,4,3,2
39,53.97,60.0,93.33,40.0,66.67,23,2.1,1,3,2,4,5,4,5,2,2,2,4,3,3,3,3,4
40,88.33,66.67,80.0,100.0,66.67,26,3.2,1,4,3,3,4,5,3,5,5,5,4,4,2,5,5,5
41,49.09,53.33,46.67,93.33,33.33,47,6.2,0,3,3,2,2,3,2,4,5,5,1,2,2,2,2,3
42,42.58,73.33,86.67,40.0,40.0,36,1.2,0,3,5,3,5,3,5,2,3,1,3,2,1,2,4,2
43,86.74,86.67,86.67,53.33,80.0,22,4.6,1,5,3,5,5,4,4,3,3,2,5,3,4,5,5,5
44,15.23,53.33,66.67,26.67,66.67,33,4.9,0,2,3,3,4,3,3,1,2,1,3,4,3,1,2,1
45,81.65,60.0,66.67,86.67,60.0,27,4.0,1,2,3,4,3,3,4,4,5,4,3,3,3,4,5,5
46,21.72,46.67,26.67,80.0,53.33,40,5.2,0,2,2,3,1,1,2,4,4,4,3,2,3,2,2,1
47,61.0,46.67,40.0,46.67,100.0,46,2.4,0,3,2,2,2,2,2,3,1,3,5,5,5,3,4,5
48,63.05,60.0,26.67,86.67,73.33,19,2.0,0,3,2,4,1,2,1,5,4,4,4,3,4,3,4,4
49,53.78,40.0,100.0,86.67,33.33,34,5.1,0,2,2,2,5,5,5,5,4,4,1,2,2,2,4,4
50,74.75,93.33,60.0,73.33,73.33,33,4.5,1,5,5,4,3,3,3,4,4,3,4,4,3,4,4,4
51,96.26,100.0,73.33,73.33,26.67,51,5.7,1,5,5,5,3,5,3,3,4,4,2,1,1,5,4,5
52,84.83,80.0,73.33,26.67,100.0,31,3.6,0,4,3,5,4,3,4,1,2,1,5,5,5,5,4,4
53,43.24,40.0,33.33,46.67,73.33,24,6.1,0,2,2,2,2,1,2,3,2,2,3,3,5,1,4,3
54,51.57,46.67,66.67,60.0,46.67,25,2.7,1,3,3,1,4,3,3,4,2,3,2,2,3,2,3,4
55,30.94,80.0,66.67,80.0,53.33,34,1.3,0,4,4,4,4,3,3,4,4,4,3,2,3,1,2,2
56,24.5,26.67,33.33,93.33,73.33,38,0.0,0,1,1,2,1,2,2,4,5,5,3,4,4,2,2,1
57,67.46,53.33,53.33,73.33,60.0,29,1.2,1,2,3,3,1,4,3,3,4,4,2,4,3,4,4,3
58,40.97,20.0,73.33,80.0,93.33,33,4.7,0,1,1,1,5,3,3,5,3,4,5,4,5,3,2,2
59,16.16,60.0,66.67,33.33,26.67,40,0.6,0,4,2,3,2,4,4,2,2,1,2,1,1,1,2,1
60,39.89,46.67,46.67,80.0,40.0,28,2.4,0,1,3,3,2,2,3,5,4,3,3,2,1,3,1,3
61,30.04,60.0,33.33,33.33,86.67,50,7.0,0,3,3,3,1,2,2,3,1,1,4,5,4,3,2,2
62,84.72,46.67,60.0,100.0,46.67,25,4.7,1,3,1,3,2,3,4,5,5,5,2,2,3,4,4,5
63,62.05,73.33,93.33,60.0,86.67,49,6.4,0,3,4,4,5,5,4,3,3,3,5,4,4,4,4,4
64,21.32,46.67,33.33,53.33,80.0,47,1.4,1,3,2,2,2,2,1,3,3,2,4,3,5,2,2,1
65,13.43,33.33,40.0,93.33,26.67,50,0.0,1,2,1,2,2,2,2,5,4,5,2,1,1,1,1,1
66,38.15,53.33,40.0,66.67,46.67,45,5.9,0,2,3,3,1,3,2,4,4,2,2,3,2,2,2,2
67,42.66,53.33,60.0,20.0,60.0,36,0.6,0,3,4,1,3,3,3,1,1,1,3,3,3,2,1,3
68,67.42,33.33,66.67,66.67,73.33,39,3.4,1,1,2,2,4,3,3,4,3,3,3,5,3,4,3,4
69,93.32,73.33,93.33,93.33,80.0,25,3.6,0,3,4,4,4,5,5,5,5,4,3,4,5,5,5,4
70,56.06,60.0,73.33,53.33,46.67,30,1.5,0,2,3,4,4,4,3,3,2,3,2,3,2,3,3,2
71,37.66,46.67,33.33,86.67,60.0,34,6.0,1,2,3,2,2,2,1,4,4,5,3,3,3,4,3,2
72,46.99,53.33,33.33,53.33,80.0,50,6.0,1,3,3,2,1,2,2,3,3,2,4,4,4,2,2,3
73,57.28,73.33,66.67,26.67,93.33,45,4.2,0,4,2,5,4,4,2,1,2,1,5,4,5,4,4,4
74,57.87,73.33,93.33,40.0,46.67,37,3.1,1,4,4,3,5,5,4,2,2,2,1,3,3,3,3,3
75,55.83,60.0,53.33,66.67,66.67,38,3.5,0,4,3,2,3,3,2,4,3,3,3,4,3,3,4,4
76,1.0,20.0,20.0,26.67,66.67,33,1.2,1,1,1,1,1,1,1,1,1,2,3,3,4,1,1,1
77,66.29,33.33,40.0,66.67,26.67,32,2.8,0,2,2,1,2,2,2,3,4,3,2,1,1,4,5,3
78,36.78,66.67,66.67,80.0,86.67,48,3.0,0,3,4,3,4,2,4,3,4,5,5,4,4,1,3,2
79,72.26,66.67,93.33,66.67,73.33,19,1.7,1,3,4,3,5,4,5,4,3,3,3,4,4,3,4,4
80,75.75,33.33,66.67,80.0,80.0,29,4.7,1,2,2,1,4,3,3,5,3,4,4,3,5,4,4,4
81,51.77,73.33,73.33,93.33,53.33,32,0.6,0,5,2,4,4,3,4,4,5,5,2,3,3,3,4,2
82,95.61,93.33,86.67,73.33,80.0,41,2.4,1,5,5,4,4,5,4,4,5,2,4,4,4,5,5,4
83,53.29,100.0,100.0,93.33,66.67,32,0.0,0,5,5,5,5,5,5,5,4,5,3,3,4,4,2,3
84,49.91,73.33,60.0,33.33,73.33,29,4.1,1,3,3,5,2,3,4,1,2,2,4,3,4,3,3,3
85,11.03,53.33,73.33,53.33,73.33,21,4.5,1,2,3,3,3,4,4,2,2,4,4,3,4,3,1,2
86,88.38,66.67,33.33,86.67,73.33,27,4.3,0,3,3,4,2,2,1,5,4,4,4,2,5,4,5,5
87,37.18,53.33,40.0,86.67,46.67,22,8.5,1,3,3,2,2,1,3,3,5,5,3,1,3,2,3,2
88,36.54,26.67,66.67,60.0,40.0,42,4.9,0,1,2,1,3,3,4,3,3,3,3,1,2,4,4,3
89,62.62,40.0,26.67,86.67,100.0,33,1.5,1,2,3,1,2,1,1,4,5,4,5,5,5,3,3,3
90,79.49,73.33,53.33,60.0,66.67,26,8.0,1,4,4,3,3,3,2,4,2,3,3,3,4,5,5,5
91,79.02,86.67,60.0,40.0,73.33,36,1.5,1,4,4,5,2,3,4,2,2,2,4,3,4,4,5,4
92,83.29,60.0,93.33,60.0,86.67,35,4.6,1,3,3,3,5,4,5,3,3,3,5,5,3,4,5,4
93,80.4,73.33,40.0,60.0,80.0,34,4.5,0,3,4,4,3,1,2,3,2,4,4,4,4,3,3,4
94,34.35,100.0,86.67,26.67,40.0,38,1.6,1,5,5,5,3,5,5,1,1,2,1,3,2,1,2,3
95,33.99,20.0,73.33,53.33,66.67,39,5.7,1,1,1,1,4,4,3,3,3,2,4,3,3,4,3,2
96,88.65,73.33,93.33,60.0,93.33,25,3.8,1,3,4,4,5,4,5,3,3,3,4,5,5,5,5,4
97,67.67,60.0,40.0,20.0,80.0,24,4.2,1,4,3,2,2,1,3,1,1,1,3,5,4,5,3,5
98,38.97,20.0,33.33,46.67,60.0,43,2.0,0,1,1,1,1,1,3,2,3,2,3,4,2,2,2,2
99,61.77,93.33,73.33,80.0,100.0,51,5.5,0,5,4,5,5,4,2,3,5,4,5,5,5,4,3,2
100,9.93,73.33,40.0,20.0,60.0,37,1.7,1,4,4,3,3,2,1,1,1,1,4,2,3,1,1,1
101,1.0,33.33,40.0,80.0,26.67,33,0.0,0,1,2,2,2,2,2,4,4,4,1,1,2,1,1,1
102,64.95,93.33,93.33,53.33,40.0,39,5.8,1,4,5,5,4,5,5,2,3,3,2,3,1,4,4,5
103,60.24,86.67,73.33,80.0,33.33,20,2.4,0,4,5,4,4,4,3,4,4,4,1,2,2,4,3,3
104,6.35,20.0,20.0,40.0,100.0,31,3.3,0,1,1,1,1,1,1,2,1,3,5,5,5,1,2,1
105,45.27,60.0,46.67,33.33,73.33,30,6.7,0,2,3,4,3,1,3,1,2,2,5,4,2,3,4,3
106,68.66,53.33,46.67,80.0,73.33,32,5.2,1,3,2,3,2,2,3,4,3,5,3,4,4,3,4,3
107,52.43,66.67,80.0,33.33,20.0,43,4.3,0,3,3,4,4,4,4,1,2,2,1,1,1,3,4,3
108,39.24,53.33,100.0,66.67,33.33,35,5.1,0,2,3,3,5,5,5,3,3,4,2,2,1,1,1,3
109,76.09,93.33,93.33,53.33,66.67,47,1.9,0,4,5,5,4,5,5,2,3,3,3,4,3,3,5,4
110,1.0,26.67,66.67,46.67,20.0,34,4.6,0,2,1,1,3,3,4,2,2,3,1,1,1,1,1,1
111,47.49,60.0,40.0,66.67,80.0,20,5.2,1,4,2,3,2,1,3,3,2,5,4,4,4,4,4,2
112,52.15,40.0,33.33,86.67,73.33,41,4.6,0,2,3,1,1,2,2,5,4,4,3,5,3,2,3,4
113,11.62,20.0,53.33,46.67,53.33,45,2.8,1,1,1,1,3,3,2,2,3,2,3,3,2,1,1,1
114,25.14,40.0,80.0,46.67,60.0,38,0.0,1,2,2,2,5,3,4,2,3,2,4,2,3,3,2,2
115,47.98,73.33,86.67,20.0,40.0,49,4.2,1,4,3,4,4,4,5,1,1,1,2,2,2,3,3,4
116,28.32,80.0,20.0,93.33,46.67,32,3.4,0,4,4,4,1,1,1,5,4,5,3,2,2,2,2,2
117,29.95,26.67,93.33,53.33,20.0,45,2.5,1,1,2,1,4,5,5,3,3,2,1,1,1,2,1,4
118,69.68,66.67,93.33,66.67,60.0,19,4.6,0,3,3,4,5,5,4,3,4,3,3,3,3,5,2,4
119,80.69,33.33,60.0,93.33,73.33,20,3.7,1,2,1,2,3,3,3,5,5,4,3,4,4,5,4,5
120,87.41,93.33,100.0,33.33,73.33,45,3.6,0,5,5,4,5,5,5,1,2,2,3,4,4,5,4,5
121,56.88,80.0,66.67,53.33,60.0,47,0.5,0,4,4,4,3,3,4,3,2,3,2,3,4,3,4,3
122,32.93,66.67,80.0,46.67,33.33,36,0.6,0,3,4,3,3,4,5,2,2,3,1,2,2,3,1,3
123,86.08,80.0,80.0,60.0,86.67,43,3.9,1,4,4,4,4,4,4,3,3,3,4,5,4,5,4,4
124,16.32,46.67,33.33,20.0,20.0,29,3.3,0,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1
125,19.97,53.33,40.0,80.0,26.67,42,3.4,1,3,3,2,2,2,2,5,5,2,1,1,2,2,1,2
126,39.77,33.33,73.33,53.33,40.0,35,3.5,0,2,1,2,4,4,3,3,2,3,3,2,1,4,3,3
127,63.45,93.33,80.0,86.67,46.67,29,3.9,1,4,5,5,5,4,3,4,4,5,3,2,2,4,3,5
128,21.21,66.67,46.67,100.0,66.67,22,3.3,0,3,4,3,3,2,2,5,5,5,3,4,3,2,1,2
129,49.22,86.67,80.0,60.0,40.0,24,3.5,0,4,4,5,5,4,3,3,3,3,2,2,2,3,2,3
130,52.61,80.0,66.67,86.67,66.67,48,3.7,1,5,4,3,3,3,4,4,5,4,3,3,4,2,3,3
131,85.97,100.0,100.0,60.0,93.33,33,4.9,0,5,5,5,5,5,5,2,3,4,5,4,5,5,5,5
132,41.71,93.33,66.67,73.33,93.33,51,2.3,1,5,5,4,3,3,4,4,3,4,5,4,5,2,2,3
133,54.7,46.67,66.67,60.0,73.33,30,4.6,0,1,2,4,4,3,3,3,3,3,4,3,4,3,3,3
134,98.05,93.33,73.33,86.67,86.67,20,4.3,0,5,5,4,3,4,4,4,5,4,4,5,4,5,5,5
135,45.52,53.33,20.0,86.67,100.0,27,3.4,0,2,2,4,1,1,1,4,5,4,5,5,5,1,3,3
136,55.41,53.33,60.0,60.0,66.67,30,2.3,0,2,4,2,3,3,3,3,3,3,4,4,2,4,3,4
137,43.02,100.0,93.33,100.0,46.67,42,3.9,0,5,5,5,5,5,4,5,5,5,2,2,3,3,3,3
138,77.73,53.33,60.0,80.0,86.67,43,4.8,1,3,2,3,3,3,3,4,4,4,5,5,3,5,5,5
139,39.55,66.67,93.33,66.67,46.67,43,1.3,1,3,3,4,5,4,5,2,5,3,2,2,3,2,3,4
140,32.34,66.67,86.67,20.0,100.0,29,3.3,0,4,3,3,4,4,5,1,1,1,5,5,5,2,2,2
141,75.38,46.67,26.67,66.67,100.0,31,3.3,1,2,2,3,1,1,2,2,4,4,5,5,5,4,3,5
142,65.89,80.0,80.0,33.33,33.33,37,2.0,0,4,4,4,3,5,4,3,1,1,2,1,2,5,4,4
143,39.11,20.0,33.33,86.67,33.33,39,2.1,1,1,1,1,2,2,1,4,5,4,2,2,1,3,2,1
144,61.35,53.33,73.33,86.67,46.67,32,0.4,0,2,3,3,3,4,4,4,5,4,2,3,2,4,4,4
145,43.78,20.0,46.67,93.33,66.67,25,1.2,1,1,1,1,3,3,1,5,4,5,3,3,4,2,3,3
146,46.6,66.67,53.33,66.67,80.0,44,0.4,1,3,4,3,2,4,2,4,3,3,4,4,4,3,2,2
147,50.89,40.0,60.0,53.33,33.33,36,2.1,0,1,3,2,2,4,3,3,2,3,2,1,2,4,3,3
148,58.58,73.33,66.67,66.67,93.33,50,2.2,1,4,4,3,4,3,3,4,3,3,5,4,5,3,4,2
149,1.0,26.67,60.0,26.67,20.0,50,2.2,1,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1
150,41.89,66.67,26.67,46.67,86.67,48,3.9,1,3,3,4,1,2,1,3,2,2,3,5,5,5,3,2
151,17.62,66.67,20.0,60.0,60.0,50,2.9,0,3,4,3,1,1,1,3,3,3,4,2,3,2,1,1
152,78.95,100.0,80.0,80.0,66.67,39,1.9,0,5,5,5,4,4,4,3,5,4,2,4,4,3,4,5
153,89.9,100.0,93.33,60.0,80.0,28,1.9,0,5,5,5,5,4,5,2,3,4,4,4,4,4,4,5
154,79.84,86.67,60.0,93.33,100.0,24,1.2,0,4,4,5,3,2,4,5,4,5,5,5,5,3,5,3
155,84.0,80.0,80.0,53.33,80.0,22,2.8,0,4,5,3,5,4,3,3,3,2,4,5,3,4,4,3
156,86.74,93.33,80.0,86.67,100.0,50,2.8,1,5,5,4,3,5,4,5,4,4,5,5,5,5,4,5
157,37.34,20.0,26.67,100.0,20.0,27,6.1,0,1,1,1,1,1,2,5,5,5,1,1,1,3,3,3
158,39.55,33.33,26.67,93.33,53.33,19,6.0,1,2,1,2,1,2,1,5,4,5,2,3,3,2,3,2
159,100.0,86.67,66.67,86.67,40.0,20,5.9,0,4,4,5,3,4,3,4,4,5,1,3,2,5,5,4
160,40.59,60.0,20.0,80.0,73.33,28,6.9,1,3,3,3,1,1,1,4,4,4,4,3,4,2,2,3
