X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23
1,1,0,0,0,5.73,5.18,6.82,6.41,4.27,6.99,8.96,5.13,6.22,5.06,5.59,4.32,6.6,5.48,5.2,4.02,46.3,0
2,0,0,1,0,6.63,6.95,6.12,6.83,0.74,4.81,5.79,1.88,5.99,6.51,6.41,2.99,7.35,6.17,6.45,3.99,59.0,0
1,0,0,0,1,7.84,4.22,8.03,8.96,9.92,5.31,7.31,9.01,7.75,7.61,8.18,9.4,10.0,6.07,7.31,5.13,45.1,1
3,1,1,0,1,4.52,4.93,4.9,6.15,4.43,8.97,8.93,3.16,4.35,7.86,5.8,4.93,5.76,7.69,6.91,6.86,76.5,1
1,0,1,0,1,9.08,5.24,6.78,7.04,4.29,4.31,6.48,4.09,9.53,4.99,8.65,6.3,7.83,7.12,7.64,6.84,67.8,0
3,1,0,1,1,6.02,7.85,6.77,6.26,5.24,6.99,8.22,5.79,7.08,7.53,7.02,4.77,6.12,8.38,8.31,5.89,73.3,1
3,1,1,0,1,4.51,5.39,6.01,5.47,4.53,6.01,5.59,3.76,6.3,6.44,4.94,3.5,4.48,7.34,4.77,6.46,64.1,1
2,0,1,0,1,4.9,9.23,5.5,3.21,4.89,7.05,6.74,5.34,5.15,7.7,4.78,5.99,2.95,6.71,6.89,6.48,65.3,1
2,0,0,0,0,6.66,5.43,5.82,7.56,5.32,8.29,7.89,4.54,4.84,5.9,6.33,4.59,5.96,8.2,7.54,7.41,66.1,1
2,0,0,0,1,4.66,5.63,5.9,5.25,4.52,6.76,5.32,3.08,3.32,5.5,5.41,3.8,4.19,6.41,7.4,4.39,60.5,0
3,1,1,1,0,6.74,4.27,5.71,5.29,3.63,5.92,6.2,4.64,4.92,3.89,5.3,4.0,4.45,6.33,4.4,6.56,58.0,1
2,0,0,0,1,5.25,7.82,4.82,4.22,4.01,7.98,6.72,6.3,5.16,7.17,5.46,6.39,5.86,7.49,7.12,7.55,61.5,1
1,0,1,0,1,6.73,7.77,6.68,6.35,9.28,5.82,8.2,7.81,8.86,5.48,7.62,8.62,6.92,6.72,7.9,6.55,58.9,0
2,0,0,0,0,5.72,5.73,7.28,6.62,6.88,6.97,6.12,6.53,6.5,7.73,6.07,5.39,5.11,5.38,5.91,5.88,35.4,1
2,1,0,0,1,6.53,6.19,6.06,7.85,3.65,6.46,6.05,3.07,7.93,5.93,6.82,2.12,6.62,5.97,7.86,6.24,49.3,1
1,1,0,0,0,1.69,6.6,0.49,3.24,8.0,8.07,7.27,8.28,2.12,6.39,2.61,8.14,2.56,7.43,5.95,6.99,70.8,1
1,1,0,0,0,7.6,7.72,8.71,7.49,3.22,7.15,6.21,4.65,7.96,5.5,7.45,5.82,6.81,4.98,4.78,3.92,34.8,0
3,0,1,1,1,7.5,5.19,5.87,6.81,4.34,5.41,6.35,6.43,5.97,5.05,7.62,5.42,7.48,5.66,5.84,7.15,44.4,0
1,1,0,0,1,5.6,4.98,4.07,6.03,7.89,7.65,6.3,6.14,3.8,7.43,5.59,7.62,4.44,6.13,5.3,5.46,60.9,1
1,1,1,0,0,7.55,5.25,6.88,7.34,5.69,7.39,6.69,4.92,6.88,6.02,7.5,5.33,6.28,7.22,6.99,4.92,63.5,1
2,1,0,0,0,8.16,4.85,6.51,7.62,6.9,6.53,7.25,6.64,6.86,6.22,7.34,4.67,7.64,5.61,5.84,7.02,55.8,0
2,0,1,0,1,6.74,7.66,6.72,6.55,5.52,7.01,6.73,6.73,7.64,6.73,6.79,6.35,7.28,6.95,5.41,7.32,52.2,0
2,0,1,0,0,3.68,6.02,3.96,4.0,6.49,3.37,6.49,6.04,4.67,4.89,4.49,7.54,4.58,5.04,5.26,2.69,29.1,1
2,0,1,0,1,6.82,5.99,5.6,6.58,7.69,9.22,7.27,6.4,7.17,8.72,6.62,6.9,5.88,7.33,8.02,6.72,56.3,1
3,1,1,0,1,6.08,6.88,5.44,7.14,9.19,5.24,6.52,8.92,7.34,7.94,6.72,9.52,6.61,4.05,6.98,6.52,32.7,0
2,1,1,0,0,1.76,8.54,2.06,3.1,3.86,4.17,5.67,3.99,2.48,7.85,3.13,4.7,2.37,2.04,2.63,2.14,26.8,0
3,1,1,0,0,4.94,3.78,2.7,3.11,7.36,4.56,5.2,4.51,1.62,4.4,3.65,4.73,4.16,4.27,2.99,2.71,28.5,0
2,1,1,1,1,10.0,2.55,10.0,10.0,9.02,5.96,8.25,9.96,8.29,5.38,10.0,7.1,10.0,7.9,7.08,7.38,41.6,1
3,0,1,1,1,4.32,6.29,1.75,4.48,6.57,8.22,7.68,6.31,4.62,7.93,5.27,5.06,3.82,4.95,5.31,3.85,47.6,0
1,0,1,0,1,8.98,7.59,8.14,7.83,8.75,7.26,7.42,8.43,9.93,8.22,7.96,7.98,7.28,8.8,8.75,8.15,73.4,1
3,1,1,0,1,4.55,8.11,5.91,4.94,7.15,7.11,6.02,7.35,5.45,6.94,5.43,5.35,5.11,4.4,6.1,3.46,44.3,0
3,1,0,1,0,3.37,2.35,4.22,3.85,6.9,3.76,7.12,8.75,3.62,4.35,4.49,9.26,3.33,5.33,6.94,5.28,38.4,0
1,1,1,0,0,8.32,5.66,7.35,6.92,5.26,8.21,7.78,8.88,8.5,7.21,8.52,6.61,7.2,6.71,6.42,6.89,57.3,1
1,1,0,1,1,3.17,7.75,5.71,4.97,5.08,7.74,7.32,5.23,6.18,9.7,5.24,5.01,7.19,4.72,5.15,6.33,32.7,0
2,0,1,0,0,4.53,5.84,5.46,4.66,5.14,2.28,3.55,4.52,3.98,2.96,4.31,6.24,5.23,2.38,2.24,1.59,24.2,0
1,1,1,1,1,9.79,4.5,9.67,10.0,5.69,7.27,7.96,6.29,10.0,5.7,10.0,5.58,10.0,9.1,8.12,9.62,69.1,1
2,0,1,0,1,5.77,5.16,5.31,5.09,2.76,4.75,6.8,1.83,6.45,5.23,5.83,1.8,7.26,4.94,4.99,5.07,42.1,0
2,1,1,0,1,5.11,2.54,6.26,4.2,4.94,4.23,5.98,3.98,3.26,4.23,3.52,5.97,5.73,5.27,6.02,7.44,47.7,1
1,1,1,1,0,8.1,4.1,7.35,7.45,5.09,7.61,8.28,6.72,8.39,7.64,7.67,6.55,7.66,7.29,5.63,6.33,59.9,1
3,0,0,0,0,7.27,8.54,8.48,8.0,7.28,3.94,7.1,8.2,6.57,6.16,7.56,8.18,7.12,5.7,6.63,5.84,43.2,0
3,1,0,1,0,6.27,6.7,6.65,6.08,5.56,7.5,8.63,4.83,4.94,5.49,6.5,6.89,5.84,6.25,6.24,2.87,66.7,1
2,1,1,0,0,6.31,6.83,6.01,5.22,7.94,4.4,6.56,8.04,6.01,4.72,6.85,6.66,7.29,4.99,4.59,4.41,44.4,0
2,1,0,0,1,3.97,5.6,4.64,4.99,5.28,5.75,6.76,5.88,4.75,6.37,3.18,5.56,4.43,5.48,6.27,4.95,48.0,1
2,0,0,0,1,5.98,7.35,6.9,6.23,5.06,5.39,7.59,5.52,6.08,6.98,5.87,8.04,5.79,6.42,7.66,6.02,47.4,1
2,0,0,0,0,6.07,4.28,6.7,4.77,8.29,4.2,5.1,7.7,6.76,4.45,6.28,9.11,4.49,5.83,7.14,4.93,37.7,0
1,0,0,0,1,5.47,5.92,5.32,4.74,6.78,7.7,6.97,8.89,5.6,7.52,4.67,6.22,4.64,6.6,8.85,7.2,40.1,1
1,0,1,1,1,8.16,4.53,8.61,7.89,4.08,7.33,7.57,5.07,9.45,7.06,9.67,4.93,9.23,8.36,10.0,7.49,71.3,1
3,0,1,0,1,7.32,5.51,6.56,8.34,6.09,8.44,8.0,4.32,7.2,4.52,6.37,2.66,6.23,7.35,9.11,5.07,68.8,0
2,1,1,0,0,4.69,5.38,3.67,5.38,2.59,5.96,7.51,0.87,2.33,8.19,4.41,3.23,3.44,6.65,7.17,7.61,52.1,1
2,1,1,1,1,7.81,6.82,7.96,8.45,5.84,6.43,8.74,3.75,8.79,6.61,8.11,5.32,7.56,7.73,7.72,7.98,79.3,1
3,0,0,0,0,7.35,4.56,5.83,6.94,9.51,5.09,7.8,6.45,5.35,4.71,7.17,7.99,6.5,7.28,4.95,8.08,71.2,1
1,0,0,1,1,6.4,6.35,7.89,6.3,6.78,6.62,7.85,5.51,7.7,4.97,6.88,6.24,5.98,7.12,7.62,8.07,42.2,1
1,1,1,0,1,4.89,7.57,6.44,5.0,5.64,7.11,8.22,3.62,6.61,5.79,6.17,3.68,6.33,7.19,5.6,6.27,75.9,1
2,0,1,0,0,5.38,2.08,3.71,3.0,4.82,2.45,5.53,4.82,4.14,5.68,3.33,5.47,4.43,5.72,4.12,5.65,48.4,0
3,0,1,0,1,2.74,8.72,4.24,4.96,8.84,5.11,6.14,8.04,3.76,6.2,3.51,8.91,2.95,5.89,6.06,6.67,51.9,1
2,1,1,0,0,5.66,9.16,5.41,5.53,2.86,4.59,4.85,4.8,6.91,4.28,5.8,5.09,5.23,3.51,2.43,5.39,47.4,0
2,1,0,0,1,4.8,6.21,4.01,5.82,6.76,6.27,5.79,6.15,2.75,6.4,3.62,7.59,5.28,4.98,6.2,6.93,40.3,0
2,1,0,0,0,4.95,3.29,2.99,4.59,4.58,6.42,4.8,4.73,3.44,6.7,3.73,4.97,4.01,4.38,5.2,5.21,47.0,0
1,0,1,1,0,7.49,5.53,7.07,6.65,7.71,8.74,7.75,5.93,7.11,8.33,7.29,7.01,5.27,6.72,5.09,6.76,52.2,1
1,0,1,0,1,6.65,8.95,8.0,6.05,4.19,6.49,7.93,5.75,6.99,7.45,6.85,3.09,6.5,7.02,6.85,7.07,67.3,1
1,0,1,0,1,9.59,9.2,8.01,8.96,3.19,3.3,6.22,2.51,9.09,5.9,10.0,5.07,10.0,6.17,4.72,3.87,52.5,0
3,0,1,0,0,5.72,5.37,6.91,6.54,4.78,4.54,7.19,4.73,7.05,6.64,8.58,6.91,6.12,5.8,6.1,4.67,50.2,1
2,0,1,0,1,10.0,7.92,9.91,10.0,9.35,5.05,7.67,6.38,10.0,6.09,10.0,8.44,10.0,9.61,9.27,8.07,79.7,1
2,0,1,0,0,5.18,6.82,4.02,4.25,3.29,6.54,5.86,6.58,4.55,6.58,5.1,5.35,4.31,5.68,6.39,4.83,45.6,1
2,0,0,0,1,7.13,5.65,7.48,7.25,8.75,5.38,8.07,10.0,8.29,6.98,7.44,10.0,7.16,6.19,6.85,7.75,65.7,1
2,0,1,0,1,4.12,8.21,4.49,3.44,5.71,5.67,6.49,5.6,3.57,7.75,3.64,7.73,3.13,6.29,6.76,5.05,57.6,0
2,1,1,1,1,4.71,1.32,6.5,4.25,5.4,6.18,5.69,2.8,7.18,5.34,5.87,2.19,6.85,5.97,5.9,5.24,64.9,1
2,0,0,1,1,5.53,3.6,3.4,6.09,9.36,5.06,6.35,8.82,5.5,6.04,4.13,8.93,6.53,5.5,5.51,5.14,47.1,1
1,0,0,0,0,6.3,7.43,7.48,7.19,8.38,4.05,6.66,6.98,5.32,5.99,6.16,7.24,5.01,5.2,6.78,5.19,41.6,0
2,0,1,0,1,6.2,2.53,6.55,6.51,5.16,3.36,5.38,6.36,5.31,4.42,5.47,4.48,5.47,5.25,6.32,4.45,48.3,0
2,0,0,0,1,9.98,7.27,10.0,10.0,0.23,3.86,7.58,1.36,10.0,4.55,9.84,1.5,10.0,8.07,5.95,7.05,66.7,1
2,1,0,1,1,6.45,5.96,7.52,6.86,7.66,5.16,4.66,8.83,6.62,3.47,7.72,8.8,5.99,4.11,5.17,4.13,44.6,0
1,0,1,0,1,5.48,4.98,4.77,3.79,8.33,4.55,5.47,9.37,5.54,6.13,5.18,8.39,7.08,6.24,7.13,7.31,41.0,1
2,0,0,0,0,5.15,10.0,3.31,4.93,8.49,9.48,7.71,5.84,3.98,7.55,5.39,6.93,5.31,7.43,7.9,6.97,58.9,1
1,0,1,0,1,6.51,4.93,6.4,6.0,6.02,5.66,6.42,6.0,5.68,6.63,6.26,5.89,4.7,6.19,4.73,4.8,47.1,1
1,1,1,0,1,8.01,5.63,6.6,7.31,6.22,6.71,7.32,6.01,6.08,6.23,8.45,6.95,7.77,8.0,8.45,8.21,77.5,1
3,0,0,0,1,4.32,6.11,2.84,4.02,4.15,7.08,6.28,6.99,2.46,7.77,4.72,6.73,6.21,4.96,3.19,3.9,42.9,1
2,0,1,0,0,4.89,5.92,5.03,3.47,1.91,6.5,6.61,1.1,5.97,8.45,5.71,2.61,3.58,3.48,5.75,4.26,33.4,0
